gene_name	en_chr	en_start	en_end	tss_start	labels	ABC_score	strand	en_center	en_tss_center	distance
MYC	chr8	128627285	128629785	128748314	0	0.00011707393306551799	+	128628535	-119779	119779
MYC	chr8	128629585	128632085	128748314	0	0.00241675180083964	+	128630835	-117479	117479
MYC	chr8	128630185	128632725	128748314	0	0.00241675180083964	+	128631455	-116859	116859
MYC	chr8	128736885	128739385	128748314	0	0.00486014644744714	+	128738135	-10179	10179
MYC	chr8	128739945	128742485	128748314	0	0.0037883225061434898	+	128741215	-7099	7099
MYC	chr8	128757345	128759905	128748314	0	0.00199706549080721	+	128758625	10311	10311
MYC	chr8	128770725	128773225	128748314	0	0.00786045329012407	+	128771975	23661	23661
MYC	chr8	128771725	128774485	128748314	0	0.00786045329012407	+	128773105	24791	24791
MYC	chr8	128787805	128790305	128748314	0	0.000939023510708733	+	128789055	40741	40741
MYC	chr8	128805528	128808028	128748314	0	0.00622695038565786	+	128806778	58464	58464
MYC	chr8	128806125	128808865	128748314	1	0.00622695038565786	+	128807495	59181	59181
MYC	chr8	128806925	128809425	128748314	1	0.00622695038565786	+	128808175	59861	59861
MYC	chr8	128811885	128814385	128748314	0	0.00603917399135738	+	128813135	64821	64821
MYC	chr8	128817965	128820545	128748314	0	0.00114201775449981	+	128819255	70941	70941
MYC	chr8	128826425	128828925	128748314	0	0.00032223702746798797	+	128827675	79361	79361
MYC	chr8	128831405	128833905	128748314	0	0.00061645090095295	+	128832655	84341	84341
MYC	chr8	128833725	128836225	128748314	0	0.000408596826203027	+	128834975	86661	86661
MYC	chr8	128842745	128845245	128748314	0	0.00342562520101305	+	128843995	95681	95681
MYC	chr8	128855505	128858085	128748314	0	0.00415186882631321	+	128856795	108481	108481
MYC	chr8	128856945	128859445	128748314	0	0.00565027294870959	+	128858195	109881	109881
MYC	chr8	128857545	128860045	128748314	0	0.0038489081030820796	+	128858795	110481	110481
MYC	chr8	128858805	128861425	128748314	0	0.0025369025463106	+	128860115	111801	111801
MYC	chr8	128862585	128865725	128748314	0	0.0121648398293107	+	128864155	115841	115841
MYC	chr8	128865365	128868165	128748314	0	0.00982079268258845	+	128866765	118451	118451
MYC	chr8	128870905	128873425	128748314	0	0.00358164562593156	+	128872165	123851	123851
MYC	chr8	128877565	128880065	128748314	0	0.00176769507059767	+	128878815	130501	130501
GATA1	chrX	48641372	48641493	48644981	1	0.092131666895955	+	48641432	-3549	3549
GATA1	chrX	48659028	48659074	48644981	1	0.0677508955411949	+	48659051	14070	14070
GATA1	chrX	48660375	48660526	48644981	1	0.142876610325219	+	48660450	15469	15469
HDAC6	chrX	48641372	48641493	48660422	1	0.0211558971466672	+	48641432	-18990	18990
HDAC6	chrX	48644930	48644969	48660422	1	0.0236687469849015	+	48644949	-15473	15473
HDAC6	chrX	48659028	48659074	48660422	1	0.0749275429435094	+	48659051	-1371	1371
HBE1	chr11	5172825	5173849	5291373	0	0.00764863362632662	-	5173337	-118036	118036
HBE1	chr11	5193045	5193545	5291373	0	0.00062690393708413	-	5193295	-98078	98078
HBE1	chr11	5217265	5217765	5291373	0	0.00280494094254208	-	5217515	-73858	73858
HBE1	chr11	5225965	5226485	5291373	0	0.0045703164122176	-	5226225	-65148	65148
HBE1	chr11	5245665	5246505	5291373	0	0.0199944494024104	-	5246085	-45288	45288
HBE1	chr11	5246645	5247185	5291373	0	0.0021137275363497803	-	5246915	-44458	44458
HBE1	chr11	5255585	5256125	5291373	0	0.0121670547088437	-	5255855	-35518	35518
HBE1	chr11	5264105	5265345	5291373	0	0.026691425224854	-	5264725	-26648	26648
HBE1	chr11	5270837	5271645	5291373	1	0.0102271669447686	-	5271241	-20132	20132
HBE1	chr11	5275761	5276545	5291373	1	0.00914030702775029	-	5276153	-15220	15220
HBE1	chr11	5279785	5280285	5291373	0	0.0309508933723726	-	5280035	-11338	11338
HBE1	chr11	5296965	5297465	5291373	1	0.131556932723526	-	5297215	5842	5842
HBE1	chr11	5299865	5300405	5291373	1	0.0178024232417853	-	5300135	8762	8762
HBE1	chr11	5305765	5306265	5291373	1	0.0432423521886168	-	5306015	14642	14642
HBE1	chr11	5309265	5309785	5291373	1	0.0425060723160647	-	5309525	18152	18152
HBE1	chr11	5312405	5312905	5291373	0	0.00856938453731081	-	5312655	21282	21282
HBE1	chr11	5356345	5356865	5291373	0	0.00143234432940411	-	5356605	65232	65232
HBE1	chr11	5384865	5385865	5291373	0	0.00316637833101528	-	5385365	93992	93992
HBE1	chr11	5390985	5391525	5291373	0	0.0006777981047948941	-	5391255	99882	99882
HBE1	chr11	5401905	5402405	5291373	0	0.000701818380517482	-	5402155	110782	110782
HBBP1	chr11	5301600	5302400	5264822	1	0.0313152394370992	-	5302000	37178	37178
HBD	chr11	5301600	5302400	5255858	1	0.0236131918389723	-	5302000	46142	46142
HBE1	chr11	5301600	5302400	5291373	1	0.0844206520027718	-	5302000	10627	10627
HBG1	chr11	5301600	5302400	5271087	1	0.0379831310729321	-	5302000	30913	30913
HBG2	chr11	5301600	5302400	5276011	1	0.0379837361222243	-	5302000	25989	25989
EZH1	chr17	40851240	40851334	40897114	1	0.0272078419994318	-	40851287	-45827	45827
CD164	chr6	109625629	109626129	109704015	1	0.0702471914284406	-	109625879	-78136	78136
CEP104	chr1	3691278	3691778	3773797	1	0.0260617444634226	-	3691528	-82269	82269
LRRC47	chr1	3691278	3691778	3713068	1	0.0561041006069148	-	3691528	-21540	21540
RAE1	chr20	55990155	55990155	55926144	1	0.016457015359013002	+	55990155	64011	64011
RBM38	chr20	55990155	55990155	55966453	1	0.0319919206196127	+	55990155	23702	23702
SMIM1	chr1	3691278	3691778	3689324	1	0.12188002744983399	+	3691528	2204	2204
ALAS2	chrX	55054662	55054701	55057497	1	0.154456828694359	-	55054681	-2816	2816
EPB41	chr1	29210606	29210645	29213602	1	0.14899543476388802	+	29210625	-2977	2977
EPB41	chr1	29211591	29211630	29213602	1	0.263692755622157	+	29211610	-1992	1992
KCNN4	chr19	44278759	44278798	44285409	1	0.138998354976362	-	44278778	-6631	6631
UROS	chr10	127505227	127505304	127511837	1	0.23289355555884902	-	127505265	-6572	6572
CNDP2	chr18	72265021	72265042	72166822	0	0.0010236820326892	+	72265031	98209	98209
FADS1	chr11	61602067	61602390	61584529	1	0.0617818236171639	-	61602228	17699	17699
FADS1	chr11	61609256	61609274	61584529	1	0.0418576833111689	-	61609265	24736	24736
FTH1	chr11	61739083	61739510	61735132	1	0.20135554717162402	-	61739296	4164	4164
HBG1	chr11	5305924	5306090	5271087	1	0.0331068305799102	-	5306007	34920	34920
HBG1	chr11	5309413	5309590	5271087	1	0.0325431264388021	-	5309501	38414	38414
HBG2	chr11	5296984	5297290	5276011	1	0.065417800579064	-	5297137	21126	21126
HBG2	chr11	5305924	5306090	5276011	1	0.0331073579525581	-	5306007	29996	29996
HBG2	chr11	5309413	5309590	5276011	1	0.0325436448319693	-	5309501	33490	33490
PIM1	chr6	37018088	37018230	37137921	1	0.0460189020623327	+	37018159	-119762	119762
PIM1	chr6	37151047	37151290	37137921	1	0.0536398294956574	+	37151168	13247	13247
PRKAR2B	chr7	106650779	106650797	106685177	1	0.054901910597347	+	106650788	-34389	34389
MYO1D	chr17	31220757	31222033	31204191	1	0.0603146530780527	-	31221395	17204	17204
MYO1D	chr17	31224570	31224590	31204191	1	0.11721681044180199	-	31224580	20389	20389
MYO1D	chr17	31236528	31240709	31204191	1	0.0989348111423326	-	31238618	34427	34427
MYO1D	chr17	31237036	31237145	31204191	1	0.0305864632076328	-	31237090	32899	32899
SPACA3	chr17	31220757	31222033	31318881	1	0.0349914281941681	+	31221395	-97486	97486
SPACA3	chr17	31236528	31240709	31318881	1	0.08708267639380099	+	31238618	-80263	80263
SPACA3	chr17	31237036	31237145	31318881	1	0.0263197518716102	+	31237090	-81791	81791
TMEM98	chr17	31220757	31222033	31254927	1	0.04308215164396799	+	31221395	-33532	33532
TMEM98	chr17	31236528	31240709	31254927	1	0.23058354551857896	+	31238618	-16309	16309
TMEM98	chr17	31237036	31237145	31254927	1	0.0699449143634779	+	31237090	-17837	17837
SUOX	chr12	56400867	56400888	56391042	1	0.0467278580176429	+	56400877	9835	9835
BAX	chr19	49333325	49333845	49458116	0	0.0	+	49333585	-124531	124531
BAX	chr19	49338885	49339405	49458116	0	0.00232898116168101	+	49339145	-118971	118971
BAX	chr19	49345685	49346405	49458116	0	0.0008157621348099611	+	49346045	-112071	112071
BAX	chr19	49347645	49348165	49458116	0	0.000516496638715595	+	49347905	-110211	110211
