dataset	chrom	chromStart	chromEnd	name	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize25	ValidConnection	CellType	Reference	Regulated	PowerAtEffectSize10	PowerAtEffectSize15	PowerAtEffectSize20	PowerAtEffectSize50	numTSSEnhGene	distanceToTSS	normalizedDNase_enh	normalizedDNase_prom	numNearbyEnhancers	sumNearbyEnhancers	ubiquitousExpressedGene	numCandidateEnhGene	3DContactAvgHicTrack2	3DContactAvgHicTrack2_squared	activityEnhDNaseOnlyAvgHicTrack2_squared	activityPromDNaseOnlyAvgHicTrack2	ABCScoreDNaseOnlyAvgHicTrack2
TAPseq	chr11	220536	220704	CD151|chr11:220536-220704:.	0.013861393664357	chr11	832843.0	832844.0	CD151	False	1.0	1.0	True	K562	Schraivogel et al., 2020	False	0.6	0.85	0.95	1.0	39	612331	2.549686	0.640351	2	2.78385	0	100	0.000496	2.46016e-07	6.500898698596	0.640351	0.000333
TAPseq	chr11	220536	220704	POLR2L|chr11:220536-220704:.	0.0198099637985556	chr11	842545.0	842546.0	POLR2L	False	1.0	1.0	True	K562	Schraivogel et al., 2020	False	0.6	0.85	0.95	1.0	40	621909	2.549686	0.774881	2	2.78385	0	104	0.000581	3.37561e-07	6.500898698596	0.774881	0.000325
TAPseq	chr11	220536	220704	PSMD13|chr11:220536-220704:.	0.011610223908572	chr11	236546.0	236547.0	PSMD13	False	1.0	1.0	True	K562	Schraivogel et al., 2020	False	0.65	0.85	1.0	1.0	2	16187	2.549686	0.76902	2	2.78385	1	1	0.012946	0.000167598916	6.500898698596	0.76902	0.008808
TAPseq	chr11	220536	220704	RNH1|chr11:220536-220704:.	0.0247732937425593	chr11	507300.0	507301.0	RNH1	False	1.0	1.0	True	K562	Schraivogel et al., 2020	False	0.6	0.9	0.95	1.0	14	286201	2.549686	0.937613	2	2.78385	0	49	0.00173	2.9929e-06	6.500898698596	0.937613	0.000726
TAPseq	chr11	267072	267299	CD151|chr11:267072-267299:.	-0.0174098414342742	chr11	832843.0	832844.0	CD151	False	1.0	1.0	True	K562	Schraivogel et al., 2020	False	0.85	0.9	1.0	1.0	37	565766	12.020273	0.640351	1	8.703151	0	94	0.000565	3.19225e-07	144.486962994529	0.640351	0.001786
TAPseq	chr11	267072	267299	IFITM1|chr11:267072-267299:.	0.0064544914922837	chr11	313506.0	313507.0	IFITM1	False	1.0	1.0	True	K562	Schraivogel et al., 2020	False	0.5	0.85	0.9	1.0	5	46805	12.020273	0.67011	1	8.703151	0	7	0.006495	4.2185025e-05	144.486962994529	0.67011	0.012887
TAPseq	chr11	267072	267299	POLR2L|chr11:267072-267299:.	0.0086977674181014	chr11	842545.0	842546.0	POLR2L	False	1.0	1.0	True	K562	Schraivogel et al., 2020	False	0.85	1.0	1.0	1.0	38	575344	12.020273	0.774881	1	8.703151	0	98	0.000443	1.96249e-07	144.486962994529	0.774881	0.001168
TAPseq	chr11	267072	267299	PSMD13|chr11:267072-267299:.	-0.0367606032715744	chr11	236546.0	236547.0	PSMD13	False	1.0	1.0	True	K562	Schraivogel et al., 2020	False	0.75	0.9	1.0	1.0	1	30378	12.020273	0.76902	1	8.703151	1	6	0.011421	0.000130439241	144.486962994529	0.76902	0.036632
TAPseq	chr11	267072	267299	RNH1|chr11:267072-267299:.	0.034594492571419	chr11	507300.0	507301.0	RNH1	False	1.0	1.0	True	K562	Schraivogel et al., 2020	False	0.7	0.8	0.95	1.0	12	239636	12.020273	0.937613	1	8.703151	0	43	0.002733	7.469289e-06	144.486962994529	0.937613	0.005405
TAPseq	chr11	267072	267299	RPLP2|chr11:267072-267299:.	-0.021897159346955	chr11	809647.0	809648.0	RPLP2	False	1.0	1.0	True	K562	Schraivogel et al., 2020	False	0.55	0.9	1.0	1.0	34	542750	12.020273	0.956017	1	8.703151	1	91	0.000652	4.25104e-07	144.486962994529	0.956017	0.001098
