dataset	chrom	chromStart	chromEnd	name	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize25	ValidConnection	CellType	Reference	Regulated	PowerAtEffectSize10	PowerAtEffectSize15	PowerAtEffectSize20	PowerAtEffectSize50	numTSSEnhGene	distanceToTSS	normalizedDNase_enh	normalizedDNase_prom	numNearbyEnhancers	sumNearbyEnhancers	ubiquitousExpressedGene	numCandidateEnhGene	3DContactAvgHicTrack2	3DContactAvgHicTrack2_squared	activityEnhDNaseOnlyAvgHicTrack2_squared	activityPromDNaseOnlyAvgHicTrack2	ABCScoreDNaseOnlyAvgHicTrack2
Gasperini2019	chr1	3803570	3805848	LRRC47|chr1:3720134-3722412:.	-0.0014712651521705	chr1	3796503.0	3796504.0	LRRC47	False	0.999918430877266	1.0	True	K562	Gasperini et al., 2019	False	0.4	0.8	0.85	1.0	1	8205	8.184677	0.822184	1	5.763773	1	0	0.046141	0.002128991881	66.988937594329	0.822184	0.110152
Gasperini2019	chr1	3803570	3805848	SMIM1|chr1:3720134-3722412:.	0.0256769239939025	chr1	3772788.0	3772789.0	SMIM1	False	0.994159681139454	1.0	True	K562	Gasperini et al., 2019	False	0.8	0.85	1.0	1.0	2	31923	8.184677	0.808247	1	5.763773	0	0	0.005177	2.6801329e-05	66.988937594329	0.808247	0.008204
Gasperini2019	chr1	4126791	4127291	SMIM1|chr1:4186851-4187351:.	0.0233837871595364	chr1	3772788.0	3772789.0	SMIM1	False	0.992197132368778	0.95	True	K562	Gasperini et al., 2019	False	0.55	0.8	0.9	1.0	7	354255	0.854023	0.808247	0	0.0	0	0	0.000113	1.2769e-08	0.729355284529	0.808247	1.9e-05
Gasperini2019	chr1	5304578	5305078	RPL22|chr1:5364638-5365138:.	0.0267218837670002	chr1	6209388.0	6209389.0	RPL22	False	0.99007887058535	0.9	True	K562	Gasperini et al., 2019	False	0.65	0.8	0.9	1.0	4	894791	2.878881	0.962658	1	0.667554	1	0	0.000121	1.4641e-08	8.287955812161	0.962658	9.6e-05
Gasperini2019	chr1	8197448	8198244	PARK7|chr1:8257508-8258304:.	-0.0198771774079988	chr1	7954291.0	7954292.0	PARK7	False	0.955905753151502	1.0	True	K562	Gasperini et al., 2019	False	0.6	0.8	0.95	1.0	2	236193	19.896755	0.986514	1	1.36367	1	0	0.001011	1.022121e-06	395.880859530025	0.986514	0.005867
Gasperini2019	chr1	8858063	8858563	ENO1|chr1:8918122-8918622:.	-0.107409455981821	chr1	8879248.0	8879249.0	ENO1	True	0.0043960800464262	0.85	True	K562	Gasperini et al., 2019	True	0.25	0.45	0.8	1.0	2	20779	6.083763	0.957944	4	9.040492	1	0	0.009471	8.9699841e-05	37.012172240169	0.957944	0.010964
Gasperini2019	chr1	8899850	8900350	PARK7|chr1:8959909-8960409:.	-0.0418823955064419	chr1	7954291.0	7954292.0	PARK7	False	0.959632967301141	1.0	True	K562	Gasperini et al., 2019	False	0.6	0.85	0.95	1.0	8	938447	4.503693	0.986514	2	2.522633	1	0	0.000291	8.4681e-08	20.283250638249	0.986514	0.000383
Gasperini2019	chr1	9145155	9145655	ENO1|chr1:9205214-9205714:.	-0.0739769868772828	chr1	8879248.0	8879249.0	ENO1	False	0.408383345700439	1.0	True	K562	Gasperini et al., 2019	False	0.9	0.95	1.0	1.0	5	266313	1.182645	0.957944	1	2.485092	1	0	0.000751	5.64001e-07	1.398649196025	0.957944	0.000169
Gasperini2019	chr1	10387486	10388537	DFFA|chr1:10447543-10448594:.	-0.0157557498848692	chr1	10472525.0	10472526.0	DFFA	False	0.999918430877266	1.0	True	K562	Gasperini et al., 2019	False	0.6	0.85	0.95	1.0	5	84545	1.610086	0.924209	0	0.0	1	0	0.002623	6.880129e-06	2.592376927396	0.924209	0.001258
Gasperini2019	chr1	11881944	11882444	MAD2L2|chr1:11942001-11942501:.	0.00758823901432	chr1	11691649.0	11691650.0	MAD2L2	False	0.999918430877266	1.0	True	K562	Gasperini et al., 2019	False	0.45	0.8	0.95	1.0	10	200980	5.81194	0.908633	3	35.976239	1	0	0.000628	3.94384e-07	33.7786465636	0.908633	0.000995
Gasperini2019	chr1	11882562	11883554	AGTRAP|chr1:11942619-11943611:.	-0.0358374603924911	chr1	11736084.0	11736085.0	AGTRAP	False	0.766850013851142	1.0	True	K562	Gasperini et al., 2019	False	0.55	0.85	0.95	1.0	8	146974	24.621138	0.891499	3	17.167041	0	0	0.001112	1.236544e-06	606.200436415044	0.891499	0.00656
Gasperini2019	chr1	11882562	11883554	MAD2L2|chr1:11942619-11943611:.	-0.0207587249357361	chr1	11691649.0	11691650.0	MAD2L2	False	0.999918430877266	1.0	True	K562	Gasperini et al., 2019	False	0.85	0.95	1.0	1.0	10	201844	24.621138	0.908633	3	17.167041	1	0	0.000628	3.94384e-07	606.200436415044	0.908633	0.004216
Gasperini2019	chr1	11882562	11883554	TARDBP|chr1:11942619-11943611:.	-0.0424137203103255	chr1	11012344.0	11012345.0	TARDBP	False	0.642610562472322	0.9	True	K562	Gasperini et al., 2019	False	0.6	0.85	0.9	1.0	24	870437	24.621138	0.866454	3	17.167041	0	0	0.000333	1.10889e-07	606.200436415044	0.866454	0.003601
